[2025-07-15 17:05:43] PING web 192.168.56.10 OK | HTTP 200 OK | SYSLOG FAIL
[2025-07-16 10:42:35] PING 192.168.56.10 OK | HTTP FAIL | SYSLOG RECEIVED
[2025-07-16 10:42:38] PING 192.168.56.10 OK | HTTP FAIL | SYSLOG RECEIVED
[2025-07-16 10:45:21] PING 192.168.56.10 OK | HTTP 200 OK | SYSLOG RECEIVED
[2025-07-16 10:45:24] PING 192.168.56.10 OK | HTTP 200 OK | SYSLOG RECEIVED
[2025-07-16 11:16:46] PING 192.168.56.10 OK | HTTP 200 OK | SYSLOG RECEIVED
[2025-07-16 11:16:49] PING 192.168.56.10 OK | HTTP 200 OK | SYSLOG RECEIVED
[2025-07-16 11:37:42] PING 192.168.56.10 OK | HTTP 200 OK | SYSLOG RECEIVED

[2025-07-16 13:56:18] PING 192.168.56.10 OK | HTTP 200 OK | SYSLOG FAIL
[2025-07-16 13:56:57] PING 192.168.56.10 OK | HTTP 200 OK | SYSLOG RECEIVED
[2025-07-19 20:28:02] PING 192.168.56.10 FAIL | HTTP FAIL | SYSLOG FAIL
[2025-07-19 20:29:55] PING 192.168.56.10 FAIL | HTTP FAIL | SYSLOG FAIL
[2025-07-19 20:45:15] PING 192.168.56.10 OK | HTTP FAIL | SYSLOG FAIL
[2025-07-19 20:45:57] PING 192.168.56.10 OK | HTTP FAIL | SYSLOG FAIL
[2025-07-19 20:46:03] PING 192.168.56.10 OK | HTTP FAIL | SYSLOG FAIL
[2025-07-19 20:48:17] PING 192.168.56.10 OK | HTTP 200 OK | SYSLOG FAIL
[2025-07-19 20:48:22] PING 192.168.56.10 OK | HTTP 200 OK | SYSLOG FAIL
[2025-07-19 20:48:29] PING 192.168.56.10 OK | HTTP 200 OK | SYSLOG RECEIVED
